reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
0b63d231-d852-4add-bff6-9aaea0e4cb56,Lutfi Tambayu,https://play-lh.googleusercontent.com/a-/ALV-UjU8Se72DGGEV7Q7X0lIMKccbkX9ruepy8Ck8qjqTvXC-UNWETlaWw,Aplikasi berjalan dengan baik,5,2,1.3.9,2022-01-26 08:07:04,,,1.3.9
a11b9111-2ed6-48b0-b355-c0dca993ea67,musab minato,https://play-lh.googleusercontent.com/a-/ALV-UjWaYJValc8-QEpoaalaP5W3a_CoR34Fn19ktT0KWk6cgSU1KkvU,Tidak bisa login selalu tulisan server error,2,5,1.3.9,2022-01-26 04:27:04,,,1.3.9
783c8e95-05b0-4ddb-a81f-ea4ec2a64700,Ahmad rijal Affif,https://play-lh.googleusercontent.com/a-/ALV-UjXnyJ2QU5Wlx23-Na5MF9Ntz_C85h-KJJ2b_9Tfzoe9LY51B9gX,Kok gk bisa di download padahal wifi udh lancar kali..malah cuma ngestuk di 37% terus,1,2,,2022-01-26 00:27:31,,,
037c29f5-09d4-46cf-8116-665b438ffa48,Miftah Amirul Amin,https://play-lh.googleusercontent.com/a-/ALV-UjUOb4v4Thd765O7X_yLPuBlvNGzmrnXEkvxbTuRZVciYQ314iSO,Invalid argument mulu waktu log in,1,1,1.3.9,2022-01-25 14:18:44,,,1.3.9
1c55e0fa-b277-4ae4-afde-d5f7e70fc963,Bilbo Baggins,https://play-lh.googleusercontent.com/a-/ALV-UjU1ZQwRb4ig8SHEbNbNuKXGe9ig5rPU76aihXuhqhJqvpkoRK8,"Aplikasinya sangat bermanfaat, mau liat nilai tinggal buka app ini aja. Makasih pihak"" yg terlibat bikin app My TelU!",5,1,,2022-01-25 12:09:56,,,
beab2041-662d-479e-9da0-43e0b242e81d,Anas Satria,https://play-lh.googleusercontent.com/a-/ALV-UjXPLIuc02tvyTqpK4oYZH2hCk2_dWehv4UQKt6_sxNDZlNkzQg,"Kenapa ya waktu menjalankan aplikasi ini, selalu mengakses data clipboard? Mau ngambil data apa emang di clipboard?",1,10,1.3.8,2022-01-22 01:23:01,,,1.3.8
1dccb500-2d30-4417-bed1-75f31650d8c6,Farel Jemal,https://play-lh.googleusercontent.com/a-/ALV-UjWGmNiXNvg83YUbPlgWVJCbExRkav5wDYhpruHkofMRJGkdRApzIw,👍👍,5,1,,2022-01-20 02:47:47,,,
7ca61c2b-111f-41a8-89a4-9d0d6097b68a,Graciano Andre,https://play-lh.googleusercontent.com/a-/ALV-UjXSdFRVJgvc4GOVYZe0sx49ajV9r5r6n8JqtF9IvE4-MGp_CnQ,Mantap,5,1,1.3.8,2021-12-15 22:23:00,,,1.3.8
199d2662-6cb9-4d8b-89e2-65f3cecc7995,Riza S,https://play-lh.googleusercontent.com/a/ACg8ocJr8PZA53RPOHL3Ji5GOYXLcH8Lj1WUGCGS9pL-VxA8EzOPhQ=mo,Mantap,5,1,,2021-12-08 13:01:48,,,
13e30a2b-530f-4a32-8f22-c80e556f0919,Arif Oeutan,https://play-lh.googleusercontent.com/a-/ALV-UjXwIuLjD_7VObmk6TbDkOozao5YxbcVrEgrBx9uAvBCeHlfh9U,Top,5,1,,2021-10-18 07:00:13,,,
0a3f2e1a-0677-41b1-90dd-e363d613b440,Basuki Rahmat,https://play-lh.googleusercontent.com/a/ACg8ocIOiqs2vLv7KPAX7tFBPJ9sop6DBSHDQbJhNTk-AJYZUB3Hvnfd=mo,"Aplikasi untuk check in, kenapa sering tidak muncul..🙏 #Basuki Rahmat",3,2,1.3.7,2021-10-09 00:45:30,,,1.3.7
e356a832-b9a5-488f-bbc2-198fbcac72da,Edwin Buyung,https://play-lh.googleusercontent.com/a-/ALV-UjUccXmnfCv2-xzL127CbRCrFm6NVrR-Xx-sYV6BwFdbETdoI24,bagus,5,1,1.3.7,2021-10-03 04:12:42,,,1.3.7
ab4cf01c-132a-4dca-9320-fa75b918c486,Yaya Sunarya,https://play-lh.googleusercontent.com/a/ACg8ocJr-QbUMu5-nBYymT75WT6UdSJ5md-G4Xs9LXzdgF0FhyDwCg=mo,Bagus,5,1,1.3.6,2021-09-18 07:42:28,,,1.3.6
e96115d0-83f2-48f6-89f3-356fe94ebf0f,Ahmad nur sheha gunawan,https://play-lh.googleusercontent.com/a/ACg8ocIOSWo_ELztYy-lI6rSlpM-wPGCQAXuKhgPxfJcjFHStRVRvA=mo,Kenapa aplikasi ini sering bermasalah ya. Khusus nya dengan fitur absensi dan jadwal dosen yang tiba tiba hilang. Sudah beberapa kali di hari yg berbeda saya hrs instal ulang agar bisa akses fitur tersebut agar bisa absen tapi gagal. Mohon solusi nya. (Akhir nya absen lewat dengan tautan yang sebelum pindah ke aplikasi ini).,1,32,1.3.7,2021-09-14 00:10:28,"Hai Telutizen, mohon maaf atas ketidaknyamanannya. Kami membutuhkan info detail terkait kendala yang anda alami. Harap menghubungi Service Desk kami ya. Terima Kasih, Salam HEI",2023-07-26 06:17:48,1.3.7
e0e90966-9823-43da-ac13-2ebba88f9f32,Hilmy Atha Al Harits,https://play-lh.googleusercontent.com/a/ACg8ocIQ0weVM6mVccihbo9EMOI15t56mPtvUgvcVkMpiNl-GBJrhG8=mo,"Di browser bisa login, tapi di aplikasi ini selalu ""Login Error""",1,4,,2021-08-15 06:12:20,,,
9337af36-9ca7-4cb2-a327-1b657e05d375,Yosa Fiandra,https://play-lh.googleusercontent.com/a-/ALV-UjX1615dTHdFYRd-RWnXlYCr6duLrQgajDPWOJP9WjIFj3VahUDH,Mantap,5,1,1.3.4,2021-08-09 00:01:46,,,1.3.4
308fe91b-5887-4cae-8ce1-a37fe94684ca,Candiwan Iwan,https://play-lh.googleusercontent.com/a/ACg8ocLhYTa7imWS-ZPcX8qRevIyYk5NgWwY6cbWHgBf7twdDa6HWA=mo,Mantap aplikasi My TelU,5,1,1.3.3,2021-07-17 14:48:57,,,1.3.3
ac75df85-8d18-4377-b357-466e70e6e0e3,Agus Mulyana,https://play-lh.googleusercontent.com/a/ACg8ocJyTiuhiASmNT4ILQ8Tv7x1PwoB7WuYNKDPNqiyr5dtO5qWag=mo,Kenapa jadi tdk bisa chekin dengan aplikasi ini suruh dwnlod loding terus jdi hrs bagai mana ini,1,2,,2021-07-17 01:03:30,,,
7a1a6d54-2e20-4f09-a6b8-59a81e5d128b,Fani Rahmani,https://play-lh.googleusercontent.com/a/ACg8ocKIqui7pzUx6-ZiMtD1vtwu0JPr8zixvy3-D3wYPkvGvmX2ssIN=mo,Tidak bisa check in padahal sudah terinstal kemudian di keterangan minta di uninstall agar terkoneksi degn web check in tapi tetap masuk lagi ke halaman yg sama minta diinstall dan saya tidak bisa check in,2,8,1.3.3,2021-07-15 23:58:47,,,1.3.3
